ID,Company,Product,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,CPU,GPU,MemoryType,MemorySize,price
1,Apple,MacBook Pro,Ultrabook,13.3,4096000,8,macOS,1.37,Intel Core i5,Intel Iris Graphics, SSD,128,moderetly expensive
2,Apple,Macbook Air,Ultrabook,13.3,1296000,8,macOS,1.34,Intel Core i5,Intel HD Graphics, Flash Storage,128,ideal price
3,HP,250 G6,Notebook,15.6,2073600,8,No OS,1.86,Intel Core i5,Intel HD Graphics, SSD,256,ideal price
4,Apple,MacBook Pro,Ultrabook,15.4,5184000,16,macOS,1.83,Intel Core i7,AMD Radeon Graphics, SSD,512,very expensive
5,Apple,MacBook Pro,Ultrabook,13.3,4096000,8,macOS,1.37,Intel Core i5,Intel Iris Graphics, SSD,256,expinsive
6,Acer,Aspire 3,Notebook,15.6,1049088,4,Windows 10,2.1,AMD A-Series,AMD Radeon Graphics, HDD,500,inexpensive
7,Apple,MacBook Pro,Ultrabook,15.4,5184000,16,Mac OS X,2.04,Intel Core i7,Intel Iris Graphics, Flash Storage,256,very expensive
8,Apple,Macbook Air,Ultrabook,13.3,1296000,8,macOS,1.34,Intel Core i5,Intel HD Graphics, Flash Storage,256,moderetly expensive
9,Asus,ZenBook UX430UN,Ultrabook,14,2073600,16,Windows 10,1.3,Intel Core i7,Nvidia GeForce Graphics, SSD,512,moderetly expensive
10,Acer,Swift 3,Ultrabook,14,2073600,8,Windows 10,1.6,Intel Core i5,Intel UHD Graphics, SSD,256,ideal price
11,HP,250 G6,Notebook,15.6,1049088,4,No OS,1.86,Intel Core i5,Intel HD Graphics, HDD,500,inexpensive
12,HP,250 G6,Notebook,15.6,2073600,4,No OS,1.86,Intel Core i3,Intel HD Graphics, HDD,500,inexpensive
13,Apple,MacBook Pro,Ultrabook,15.4,5184000,16,macOS,1.83,Intel Core i7,AMD Radeon Graphics, SSD,256,very expensive
14,Dell,Inspiron 3567,Notebook,15.6,2073600,4,Windows 10,2.2,Intel Core i3,AMD Radeon Graphics, SSD,256,inexpensive
15,Apple,"MacBook 12""",Ultrabook,12,3317760,8,macOS,0.92,Intel Core M,Intel HD Graphics, SSD,256,moderetly expensive
16,Apple,MacBook Pro,Ultrabook,13.3,4096000,8,macOS,1.37,Intel Core i5,Intel Iris Graphics, SSD,256,expinsive
17,Dell,Inspiron 3567,Notebook,15.6,2073600,8,Windows 10,2.2,Intel Core i7,AMD Radeon Graphics, SSD,256,ideal price
18,Apple,MacBook Pro,Ultrabook,15.4,5184000,16,macOS,1.83,Intel Core i7,AMD Radeon Graphics, SSD,512,very expensive
19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,2073600,8,No OS,2.2,Intel Core i3,Nvidia GeForce Graphics, HDD,1000,inexpensive
20,Dell,XPS 13,Ultrabook,13.3,2073600,8,Windows 10,1.22,Intel Core i5,Intel UHD Graphics, SSD,128,ideal price
21,Asus,Vivobook E200HA,Netbook,11.6,1049088,2,Windows 10,0.98,Intel Atom x,Intel HD Graphics, Flash Storage,32,inexpensive
22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,2073600,8,Windows 10,2.5,Intel Core i5,Nvidia GeForce Graphics, SSD&HDD,1128,ideal price
23,HP,255 G6,Notebook,15.6,1049088,4,No OS,1.86,AMD E-Series,AMD Radeon Graphics, HDD,500,inexpensive
24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,2073600,8,Windows 10,1.62,Intel Core i5,Intel UHD Graphics, SSD,256,ideal price
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,2073600,8,Windows 10,1.91,Intel Core i7,Intel HD Graphics, SSD,256,ideal price
26,Dell,Inspiron 3567,Notebook,15.6,1049088,4,Windows 10,2.3,Intel Core i3,Intel HD Graphics, HDD,1000,inexpensive
27,Apple,MacBook Air,Ultrabook,13.3,1296000,8,Mac OS X,1.35,Intel Core i5,Intel HD Graphics, Flash Storage,128,moderetly expensive
28,Dell,Inspiron 5570,Notebook,15.6,2073600,8,Windows 10,2.2,Intel Core i5,AMD Radeon Graphics, SSD,256,ideal price
29,Dell,Latitude 5590,Ultrabook,15.6,2073600,8,Windows 10,1.88,Intel Core i7,Intel UHD Graphics, SSD  SSD,512,moderetly expensive
30,HP,ProBook 470,Notebook,17.3,2073600,8,Windows 10,2.5,Intel Core i5,Nvidia GeForce Graphics, HDD,1000,ideal price
31,Chuwi,"LapBook 15.6""",Notebook,15.6,2073600,4,Windows 10,1.89,Intel Atom x,Intel HD Graphics, Flash Storage,64,inexpensive
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14,1049088,2,Windows 10,1.65,AMD E-Series,AMD Radeon Graphics, Flash Storage,32,inexpensive
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,2073600,4,Windows 10,2.71,AMD A-Series,AMD Radeon Graphics, HDD,500,inexpensive
34,Dell,XPS 13,Ultrabook,13.3,5760000,16,Windows 10,1.2,Intel Core i7,Intel UHD Graphics, SSD,512,expinsive
