"Company","TypeName","Inches","ScreenResolution","Ram","OpSys","Weight","Price_euros","CPU","GPU","MemoryType","MemorySize","price"
"Apple","Ultrabook",13.3,4096000,8,"macOS",1.37,1339.69,"Intel Core i5","Intel Iris Graphics"," SSD",128,"moderetly expensive"
"Apple","Ultrabook",13.3,1296000,8,"macOS",1.34,898.94,"Intel Core i5","Intel HD Graphics"," Flash Storage",128,"ideal price"
"HP","Notebook",15.6,2073600,8,"No OS",1.86,575,"Intel Core i5","Intel HD Graphics"," SSD",256,"ideal price"
"Apple","Ultrabook",15.4,5184000,16,"macOS",1.83,2537.45,"Intel Core i7","AMD Radeon Graphics"," SSD",512,"very expensive"
"Apple","Ultrabook",13.3,4096000,8,"macOS",1.37,1803.6,"Intel Core i5","Intel Iris Graphics"," SSD",256,"expinsive"
"Acer","Notebook",15.6,1049088,4,"Windows 10",2.1,400,"AMD A-Series","AMD Radeon Graphics"," HDD",500,"inexpensive"
"Apple","Ultrabook",15.4,5184000,16,"Mac OS X",2.04,2139.97,"Intel Core i7","Intel Iris Graphics"," Flash Storage",256,"very expensive"
"Apple","Ultrabook",13.3,1296000,8,"macOS",1.34,1158.7,"Intel Core i5","Intel HD Graphics"," Flash Storage",256,"moderetly expensive"
"Asus","Ultrabook",14,2073600,16,"Windows 10",1.3,1495,"Intel Core i7","Nvidia GeForce Graphics"," SSD",512,"moderetly expensive"
"Acer","Ultrabook",14,2073600,8,"Windows 10",1.6,770,"Intel Core i5","Intel UHD Graphics"," SSD",256,"ideal price"
"HP","Notebook",15.6,1049088,4,"No OS",1.86,393.9,"Intel Core i5","Intel HD Graphics"," HDD",500,"inexpensive"
"HP","Notebook",15.6,2073600,4,"No OS",1.86,344.99,"Intel Core i3","Intel HD Graphics"," HDD",500,"inexpensive"
"Apple","Ultrabook",15.4,5184000,16,"macOS",1.83,2439.97,"Intel Core i7","AMD Radeon Graphics"," SSD",256,"very expensive"
"Dell","Notebook",15.6,2073600,4,"Windows 10",2.2,498.9,"Intel Core i3","AMD Radeon Graphics"," SSD",256,"inexpensive"
"Apple","Ultrabook",12,3317760,8,"macOS",0.92,1262.4,"Intel Core M","Intel HD Graphics"," SSD",256,"moderetly expensive"
"Apple","Ultrabook",13.3,4096000,8,"macOS",1.37,1518.55,"Intel Core i5","Intel Iris Graphics"," SSD",256,"expinsive"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2.2,745,"Intel Core i7","AMD Radeon Graphics"," SSD",256,"ideal price"
"Apple","Ultrabook",15.4,5184000,16,"macOS",1.83,2858,"Intel Core i7","AMD Radeon Graphics"," SSD",512,"very expensive"
"Lenovo","Notebook",15.6,2073600,8,"No OS",2.2,499,"Intel Core i3","Nvidia GeForce Graphics"," HDD",1000,"inexpensive"
"Dell","Ultrabook",13.3,2073600,8,"Windows 10",1.22,979,"Intel Core i5","Intel UHD Graphics"," SSD",128,"ideal price"
"Asus","Netbook",11.6,1049088,2,"Windows 10",0.98,191.9,"Intel Atom x","Intel HD Graphics"," Flash Storage",32,"inexpensive"
"Lenovo","Gaming",15.6,2073600,8,"Windows 10",2.5,999,"Intel Core i5","Nvidia GeForce Graphics"," SSD&HDD",1128,"ideal price"
"HP","Notebook",15.6,1049088,4,"No OS",1.86,258,"AMD E-Series","AMD Radeon Graphics"," HDD",500,"inexpensive"
"Dell","2 in 1 Convertible",13.3,2073600,8,"Windows 10",1.62,819,"Intel Core i5","Intel UHD Graphics"," SSD",256,"ideal price"
"HP","Ultrabook",15.6,2073600,8,"Windows 10",1.91,659,"Intel Core i7","Intel HD Graphics"," SSD",256,"ideal price"
"Dell","Notebook",15.6,1049088,4,"Windows 10",2.3,418.64,"Intel Core i3","Intel HD Graphics"," HDD",1000,"inexpensive"
"Apple","Ultrabook",13.3,1296000,8,"Mac OS X",1.35,1099,"Intel Core i5","Intel HD Graphics"," Flash Storage",128,"moderetly expensive"
"Dell","Notebook",15.6,2073600,8,"Windows 10",2.2,800,"Intel Core i5","AMD Radeon Graphics"," SSD",256,"ideal price"
"Dell","Ultrabook",15.6,2073600,8,"Windows 10",1.88,1298,"Intel Core i7","Intel UHD Graphics"," SSD  SSD",512,"moderetly expensive"
"HP","Notebook",17.3,2073600,8,"Windows 10",2.5,896,"Intel Core i5","Nvidia GeForce Graphics"," HDD",1000,"ideal price"
